sample,Histamine,Putrescine,Cadaverine,POV,TBARS,Tryptamine,Phenylethylamine,Chewiness,Cohesiveness,Tyramine,Adhesion,Hardness,TVBN,AN,Spermidine
NF1,19.39307795,227.9043095,159.1702709,0.071573139,0.184012873,2.489993941,5.693847631,500.79285,0.551473644,413.564187,937.2607058,1659.079419,41.99648943,0.296469072,4.4461958
NF2,20.04381708,235.611287,154.4284747,0.068303514,0.202929419,2.070379672,3.364467364,422.252306,0.406188678,462.1371493,704.4192638,1761.555367,29.96764666,0.287861713,4.009378519
NF3,21.67705829,233.3827537,143.3191682,0.0784496,0.121925622,2.668569001,5.799239414,463.7578668,0.463298474,361.845072,857.6395293,1824.850388,38.40651426,0.226042312,4.111505214
NF4,15.9041216,242.1343234,145.4708055,0.058095059,0.183853246,2.203469546,6.008651729,546.0257119,0.536212461,420.9598269,810.8978729,2240.038,37.89316992,0.296042721,5.349338129
NF5,20.98379402,238.0314769,155.744139,0.064255676,0.189809745,2.300913618,4.643102242,609.2596853,0.556984822,468.4149836,867.528729,1371.359199,37.20332609,0.30839991,4.999474114
NF6,22.49077966,237.2072751,152.7910536,0.069014746,0.242417479,1.092867463,4.002087152,535.1475616,0.490202129,415.3566184,1126.709313,1726.741771,28.89609263,0.269481101,4.360267871
NF7,19.02537408,242.0484443,132.2959666,0.058859672,0.189629365,2.843387848,5.670460863,411.6712042,0.463096888,391.3257666,839.1530675,1245.081545,35.8788393,0.241626311,4.361385283
NF8,24.01940478,234.9037404,137.2552578,0.072999559,0.157559433,1.375991366,4.37549231,443.6441353,0.391319678,421.107622,737.9910787,1605.136868,42.65210827,0.287073322,4.477554684
NF9,20.3819783,235.0113191,191.1619868,0.069057739,0.236036316,2.183057116,5.384574788,568.0448008,0.538108244,457.0481839,627.6688862,2264.090933,49.76767639,0.225407477,4.364945388
NF10,18.26820837,185.284391,213.4820626,0.054010441,0.183602913,2.249103269,5.488739015,808.3330779,0.483320697,394.5807993,1232.307662,2453.600875,49.58844439,0.248309565,6.243103131
NF11,19.08348505,175.0704301,206.1932944,0.069152562,0.1843585,2.158491927,5.74725686,811.9132874,0.47922297,363.2813528,1233.685846,2620.245134,41.67463324,0.23750302,5.908513676
NF12,24.33055213,189.4525124,256.1411923,0.077700637,0.201013903,2.073667985,5.610312486,472.9199758,0.476902698,413.1175104,1279.049396,2503.547025,47.56503037,0.264453334,5.391638977
NF13,19.89005248,165.3863937,257.286125,0.074709876,0.189752746,1.703518469,5.781678789,879.6650061,0.482477301,376.712548,1103.105276,2352.599218,48.62833527,0.243518621,6.078322391
NF14,22.26970293,216.7890834,298.488954,0.076370537,0.158949429,3.024950708,5.29370025,767.949695,0.466418802,432.0101193,1135.700096,2563.606007,52.11461433,0.287217096,5.532390515
NF15,25.05721881,171.4089965,245.3706279,0.059337333,0.174329496,2.836353407,6.112284078,614.958989,0.482079274,312.8628249,1096.488079,2478.409483,55.31604487,0.239016759,5.794590252
NF16,21.8672564,179.4075293,258.0330479,0.060594265,0.205149281,1.731226253,5.393064984,722.3086974,0.471930873,500.9869866,1216.283997,2554.736934,57.84961063,0.31742435,6.016698961
NF17,17.00813252,181.248568,213.266313,0.068782539,0.190690985,2.99333999,5.87055711,718.8312832,0.485300418,431.1462053,1202.496831,2486.099393,44.21248308,0.246207817,5.863568419
NF18,25.26669428,213.5449816,312.8313785,0.059899139,0.160034778,2.131532661,5.475792825,833.8204676,0.479287153,409.2791327,1182.489236,2472.273122,49.88246552,0.172175727,5.725784821
NF19,37.33855833,201.9230278,309.8009955,0.063704673,0.194135854,5.42147764,3.707283112,693.715394,0.476583175,480.9927848,1530.584364,3111.2646,58.93476911,0.259642422,3.915014764
NF20,22.7557035,182.4601871,245.3014541,0.047653776,0.171449084,4.420195309,3.891038392,739.0577075,0.468111279,386.5881897,1446.435647,3127.43041,67.41577765,0.274567465,3.759988439
NF21,24.23418132,198.4086877,280.1411218,0.073773755,0.175178047,6.681196143,3.974879253,685.3629105,0.480212298,419.4027198,942.0634775,3124.324753,59.08117336,0.31387255,3.771794588
NF22,44.977033,179.759274,264.4630411,0.07926571,0.200807616,6.234580131,4.326307652,746.5461459,0.470466816,445.2939085,1307.203082,3055.938032,67.58367501,0.24944136,3.191819572
NF23,28.12887728,219.8486332,252.3333942,0.073347247,0.178367346,5.374339116,4.685287157,777.3539281,0.474413942,458.8505986,1451.401792,2998.431731,45.20602768,0.284776916,4.152830477
NF24,24.65890176,191.8167291,333.0420223,0.062005319,0.193888573,5.863117458,4.429516586,865.9017002,0.467257924,406.1142171,1452.359264,3174.127657,59.72521249,0.291821819,3.890620584
NF25,38.66422976,170.5244778,266.3114502,0.092015898,0.215398061,5.984730934,4.373000704,603.4834347,0.471789247,390.816798,1586.935918,3057.497578,60.02784418,0.264610399,3.774691638
NF26,27.5947292,190.7826933,229.4226055,0.065379446,0.180201291,6.118116791,4.494374804,686.8124977,0.477427585,439.9218022,1271.66361,2943.775959,56.72141343,0.276567424,3.960705519
NF27,19.85233843,211.5104336,256.7111473,0.058825857,0.185501014,6.080732405,3.871203219,709.6680544,0.46899818,443.7735053,1209.054798,3140.526676,67.44907859,0.319877337,3.697979665
NF28,27.98743387,262.6666672,292.2424927,0.040446915,0.177945997,9.60116952,4.720147631,724.3640126,0.476525815,513.1436642,1913.916807,3096.37816,95.30866689,0.320356301,5.693993364
NF29,30.6256824,193.0221766,225.6048252,0.040906678,0.143531579,8.712652003,4.676082655,438.7363688,0.543559122,488.0635435,1816.126045,3753.699674,76.9091564,0.313806701,5.755666924
NF30,29.40143089,204.8632729,370.4778876,0.044919761,0.169536005,4.593112112,6.306527781,639.3177683,0.475006732,549.3882827,1806.958323,4025.443302,59.72922459,0.316215257,5.558078116
